Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Alto 800,Maruti,2015,"49,127 km",Petrol,Manual,"EMI ₹4,845/m*",₹1.84 lakh
Ford Ecosport,Ford,2014,"1,06,662 km",Petrol,Manual,"EMI ₹10,463/m*",₹3.15 lakh
Ford FREESTYLE,Ford,2019,"39,138 km",Petrol,Manual,"EMI ₹6,090/m*",₹3.45 lakh
Renault Kwid,Renault,2020,"56,092 km",Petrol,Manual,"EMI ₹5,208/m*",₹2.95 lakh
Renault Kwid,Renault,2016,"67,389 km",Petrol,Manual,"EMI ₹3,337/m*",₹1.50 lakh
Tata Tiago,Tata,2023,"29,883 km",Petrol,Manual,"EMI ₹8,050/m*",₹4.56 lakh
Renault Kwid,Renault,2015,"62,290 km",Petrol,Manual,"EMI ₹5,377/m*",₹2.04 lakh
Maruti Swift,Maruti,2013,"79,274 km",Petrol,Manual,"EMI ₹13,934/m*",₹2.96 lakh
Datsun Redi Go,Datsun,2019,"64,501 km",Petrol,Manual,"EMI ₹2,207/m*",₹1.25 lakh
Hyundai i10,Hyundai,2013,"69,998 km",Petrol,Manual,"EMI ₹7,767/m*",₹1.65 lakh
Hyundai VENUE,Hyundai,2019,"63,145 km",Petrol,Manual,"EMI ₹10,397/m*",₹5.89 lakh
Tata Tiago,Tata,2018,"66,608 km",Petrol,Auto,"EMI ₹5,561/m*",₹3.15 lakh
Hyundai AURA,Hyundai,2022,"1,21,535 km",CNG,Manual,"EMI ₹10,344/m*",₹4.65 lakh
Renault Kwid,Renault,2019,"74,559 km",Petrol,Manual,"EMI ₹3,160/m*",₹1.79 lakh
Renault Duster,Renault,2013,"81,336 km",Diesel,Manual,"EMI ₹24,167/m*",₹2.72 lakh
Tata Tiago,Tata,2021,"29,108 km",Petrol,Auto,"EMI ₹8,482/m*",₹4.80 lakh
Mahindra KUV 100 NXT,Mahindra,2017,"40,726 km",Petrol,Manual,"EMI ₹5,572/m*",₹2.85 lakh
Hyundai Elite i20,Hyundai,2016,"52,716 km",Petrol,Manual,"EMI ₹8,682/m*",₹3.90 lakh
Hyundai Creta,Hyundai,2017,"1,25,870 km",Petrol,Manual,"EMI ₹12,457/m*",₹5.60 lakh
Renault Kwid,Renault,2017,"31,419 km",Petrol,Auto,"EMI ₹4,179/m*",₹2.14 lakh
Tata Tiago,Tata,2018,"30,617 km",Petrol,Manual,"EMI ₹5,673/m*",₹3.21 lakh
KIA SONET,KIA,2020,"60,014 km",Diesel,Manual,"EMI ₹12,864/m*",₹7.29 lakh
Datsun Redi Go,Datsun,2016,"63,052 km",Petrol,Manual,"EMI ₹2,798/m*",₹1.26 lakh
Honda Jazz,Honda,2017,"1,16,273 km",Petrol,Manual,"EMI ₹7,830/m*",₹3.52 lakh
Maruti Baleno,Maruti,2017,"53,593 km",Petrol,Auto,"EMI ₹9,580/m*",₹4.90 lakh
Hyundai Grand i10,Hyundai,2017,"98,374 km",Petrol,Auto,"EMI ₹6,217/m*",₹3.18 lakh
Volkswagen TAIGUN,Volkswagen,2021,"91,699 km",Petrol,Manual,"EMI ₹15,188/m*",₹8.87 lakh
Tata Tiago,Tata,2019,"56,667 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
Hyundai Eon,Hyundai,2014,"74,909 km",Petrol,Manual,"EMI ₹4,750/m*",₹1.43 lakh
Renault Kwid,Renault,2016,"91,411 km",Petrol,Manual,"EMI ₹3,426/m*",₹1.54 lakh
Renault Kwid,Renault,2016,"52,041 km",Petrol,Manual,"EMI ₹3,515/m*",₹1.58 lakh
MG HECTOR PLUS,MG,2020,"40,562 km",Petrol,Auto,"EMI ₹17,277/m*",₹10.09 lakh
Hyundai Eon,Hyundai,2013,"43,471 km",Petrol,Manual,"EMI ₹7,519/m*",₹1.60 lakh
Ford FREESTYLE,Ford,2019,"1,34,993 km",Diesel,Manual,"EMI ₹9,788/m*",₹4.40 lakh
Datsun Redi Go,Datsun,2017,"63,316 km",Petrol,Manual,"EMI ₹2,704/m*",₹1.38 lakh
Volkswagen Ameo,Volkswagen,2016,"92,913 km",Petrol,Manual,"EMI ₹6,828/m*",₹3.07 lakh
Maruti Baleno,Maruti,2020,"95,546 km",Petrol,Manual,"EMI ₹9,116/m*",₹5.16 lakh
Maruti Alto 800,Maruti,2012,"62,499 km",Petrol,Manual,"EMI ₹15,311/m*",₹1.72 lakh
Renault Kwid,Renault,2016,"32,225 km",Petrol,Manual,"EMI ₹4,894/m*",₹2.20 lakh
Tata Tiago,Tata,2016,"52,175 km",CNG,Manual,"EMI ₹9,931/m*",₹2.99 lakh
Honda City,Honda,2016,"1,02,619 km",Petrol,Manual,"EMI ₹10,604/m*",₹4.77 lakh
Ford Figo,Ford,2014,"14,010 km",Petrol,Manual,"EMI ₹8,304/m*",₹2.50 lakh
