Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Renault Duster,Renault,2014,"1,17,605 km",Diesel,Manual,"EMI ₹12,945/m*",₹2.75 lakh
Skoda Rapid,Skoda,2013,"1,16,770 km",Diesel,Manual,"EMI ₹23,723/m*",₹2.67 lakh
Volkswagen Polo,Volkswagen,2015,"1,25,153 km",Petrol,Auto,"EMI ₹9,480/m*",₹3.60 lakh
Maruti Swift,Maruti,2012,"92,537 km",Diesel,Manual,"EMI ₹9,480/m*",₹2.92 lakh
Honda Amaze,Honda,2020,"30,081 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
Mahindra TUV300,Mahindra,2015,"67,814 km",Diesel,Manual,"EMI ₹13,286/m*",₹4.00 lakh
Tata NEXON,Tata,2019,"1,37,815 km",Petrol,Manual,"EMI ₹11,567/m*",₹5.20 lakh
Toyota Innova,Toyota,2010,"1,59,551 km",Diesel,Manual,"EMI ₹11,567/m*",₹3.00 lakh
Maruti Dzire,Maruti,2017,"97,243 km",Diesel,Auto,"EMI ₹9,454/m*",₹4.25 lakh
Maruti A Star,Maruti,2010,"1,00,210 km",Petrol,Manual,"EMI ₹9,454/m*",₹1.29 lakh
Chevrolet Cruze,Chevrolet,2011,"79,808 km",Diesel,Auto,"EMI ₹9,454/m*",₹1.80 lakh
Hyundai Creta,Hyundai,2017,"1,20,008 km",Diesel,Auto,"EMI ₹15,059/m*",₹6.77 lakh
Mahindra XUV500,Mahindra,2012,"1,51,653 km",Diesel,Manual,"EMI ₹15,059/m*",₹3.24 lakh
Honda Jazz,Honda,2016,"2,11,797 km",Diesel,Manual,"EMI ₹8,558/m*",₹3.25 lakh
Ford Ecosport,Ford,2017,"1,12,227 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
Maruti Dzire,Maruti,2020,"68,344 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
Ford Endeavour,Ford,2011,"1,01,224 km",Diesel,Manual,"EMI ₹9,709/m*",₹2.53 lakh
Maruti Celerio,Maruti,2016,"95,150 km",Petrol,Auto,"EMI ₹6,940/m*",₹3.12 lakh
Honda Jazz,Honda,2016,"81,098 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
Maruti Wagon R 1.0,Maruti,2017,"42,211 km",Petrol,Auto,"EMI ₹6,354/m*",₹3.25 lakh
Tata NEXON,Tata,2025,"3,580 km",Petrol,Auto,"EMI ₹23,201/m*",₹13.55 lakh
Honda Brio,Honda,2016,"61,023 km",Petrol,Manual,"EMI ₹6,117/m*",₹2.75 lakh
Maruti Ritz,Maruti,2012,"51,204 km",Petrol,Manual,"EMI ₹18,214/m*",₹2.05 lakh
Maruti Dzire,Maruti,2019,"1,29,297 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
Hyundai Grand i10,Hyundai,2013,"1,14,048 km",Petrol,Manual,"EMI ₹11,298/m*",₹2.40 lakh
Mahindra Kuv100,Mahindra,2017,"1,16,291 km",Diesel,Manual,"EMI ₹6,673/m*",₹3.00 lakh
