Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Renault Kwid,Renault,2017,37810,Petrol,Manual,4517,231000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2018,68907,Petrol,Manual,7075,401000,8,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,46956,Petrol,Manual,7155,272000,11,Ahmedabad
Maruti Wagon R 1.0,Maruti,2014,66371,Petrol,Manual,7832,236000,12,Ahmedabad
Hyundai Grand i10,Hyundai,2016,67039,Petrol,Manual,6870,309000,10,Ahmedabad
Maruti Baleno,Maruti,2019,75860,Petrol,Auto,8078,458000,7,Ahmedabad
Hyundai NEW SANTRO,Hyundai,2020,98893,Petrol,Manual,5874,333000,6,Ahmedabad
Hyundai Grand i10,Hyundai,2015,43941,Petrol,Manual,8820,335000,11,Ahmedabad
Honda WR-V,Honda,2019,80812,Diesel,Manual,8915,505000,7,Ahmedabad
Hyundai Grand i10,Hyundai,2016,81411,CNG,Auto,10577,318000,10,Ahmedabad
Ford Ecosport,Ford,2017,79818,Diesel,Manual,10719,482000,9,Ahmedabad
Mahindra XUV300,Mahindra,2019,62977,Diesel,Manual,11438,648000,7,Ahmedabad
Maruti Ciaz,Maruti,2018,66130,CNG,Manual,14572,655000,8,Ahmedabad
Maruti Swift,Maruti,2016,117732,Petrol,Manual,7148,321000,10,Ahmedabad
Maruti Baleno,Maruti,2017,85745,Petrol,Auto,7697,394000,9,Ahmedabad
Skoda Octavia,Skoda,2018,147902,Diesel,Auto,20653,950000,8,Ahmedabad
Ford FREESTYLE,Ford,2020,44725,Petrol,Manual,7562,428000,6,Ahmedabad
KIA SELTOS,KIA,2021,53710,Petrol,Manual,14415,842000,5,Ahmedabad
Renault Kwid,Renault,2016,90609,Petrol,Manual,3025,136000,10,Ahmedabad
Maruti Alto 800,Maruti,2013,69170,Petrol,Manual,6684,142000,13,Ahmedabad
Mahindra XUV500,Mahindra,2014,86357,Diesel,Manual,13887,295000,12,Ahmedabad
Hyundai Eon,Hyundai,2017,42361,Petrol,Manual,3226,165000,9,Ahmedabad
Maruti Wagon R 1.0,Maruti,2012,30982,Petrol,Manual,13238,149000,14,Ahmedabad
Maruti Wagon R 1.0,Maruti,2012,112349,Petrol,Manual,13949,157000,14,Ahmedabad
Hyundai i10,Hyundai,2014,56389,Petrol,Manual,6776,204000,12,Ahmedabad
Hyundai i10,Hyundai,2013,58236,Petrol,Manual,7485,159000,13,Ahmedabad
Maruti Swift,Maruti,2013,94729,Diesel,Manual,25766,290000,13,Ahmedabad
Tata Tiago,Tata,2018,52663,Petrol,Manual,5296,300000,8,Ahmedabad
Maruti Dzire,Maruti,2022,50372,Petrol,Manual,11916,675000,4,Ahmedabad
Hyundai Verna,Hyundai,2018,53368,Petrol,Manual,8932,505999,8,Ahmedabad
Skoda SLAVIA,Skoda,2023,96186,Petrol,Manual,14109,824000,3,Ahmedabad
Maruti Ciaz,Maruti,2016,80096,Diesel,Manual,6847,260000,10,Ahmedabad
Hyundai Eon,Hyundai,2011,84744,Petrol,Manual,6847,61000,15,Ahmedabad
Honda City,Honda,2015,39756,Petrol,Auto,10929,415000,11,Ahmedabad
Tata Tiago,Tata,2019,42429,Petrol,Manual,5243,297000,7,Ahmedabad
Maruti New Wagon-R,Maruti,2021,127500,Petrol,Manual,8831,397000,5,Ahmedabad
Chevrolet Sail,Chevrolet,2015,65948,Petrol,Manual,3897,148000,11,Ahmedabad
Maruti SX4,Maruti,2013,88329,Diesel,Manual,17326,195000,13,Ahmedabad
Mahindra XUV700,Mahindra,2022,52000,Diesel,Auto,31677,1850000,4,Ahmedabad
Maruti Ciaz,Maruti,2017,58986,Diesel,Manual,6495,292000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2016,49684,Petrol,Manual,6963,313000,10,Ahmedabad
Hyundai GRAND I10 NIOS,Hyundai,2020,40784,Petrol,Manual,7555,428000,6,Ahmedabad
Maruti Celerio,Maruti,2021,56643,Petrol,Manual,5984,339000,5,Ahmedabad
Hyundai Creta,Hyundai,2016,187710,Diesel,Manual,15800,600000,10,Ahmedabad
KIA SONET,KIA,2021,18657,Petrol,Manual,10327,585000,5,Ahmedabad
Maruti Alto,Maruti,2012,109858,Petrol,Manual,6131,69000,14,Ahmedabad
Renault Kwid,Renault,2016,89841,Petrol,Manual,2202,99000,10,Ahmedabad
Hyundai Verna,Hyundai,2018,99041,Petrol,Manual,9356,530000,8,Ahmedabad
Tata Tiago,Tata,2016,48089,Petrol,Manual,4338,195000,10,Ahmedabad
Maruti Alto 800,Maruti,2017,57608,Petrol,Manual,4203,215000,9,Ahmedabad
Mahindra Thar,Mahindra,2021,71230,Petrol,Auto,13240,750000,5,Ahmedabad
Renault TRIBER,Renault,2021,54108,Petrol,Manual,5472,310000,5,Ahmedabad
Maruti Alto 800,Maruti,2014,57141,Petrol,Manual,6211,187000,12,Ahmedabad
Hyundai Eon,Hyundai,2012,73104,Petrol,Manual,10662,120000,14,Ahmedabad
Maruti Alto,Maruti,2011,175577,Petrol,Manual,10662,77000,15,Ahmedabad
Maruti Alto 800,Maruti,2017,120093,Petrol,Manual,5150,231000,9,Ahmedabad
Hyundai Verna,Hyundai,2013,70013,Petrol,Manual,9415,200000,13,Ahmedabad
Maruti Ertiga,Maruti,2020,61792,Petrol,Manual,12009,680000,6,Ahmedabad
Hyundai Grand i10,Hyundai,2014,83016,Petrol,Manual,7075,213000,12,Ahmedabad
Maruti Wagon R 1.0,Maruti,2013,107729,Petrol,Manual,9603,204000,13,Ahmedabad
Hyundai Eon,Hyundai,2018,125480,Petrol,Manual,4271,192000,8,Ahmedabad
Maruti Alto K10,Maruti,2013,162665,Petrol,Manual,4331,92000,13,Ahmedabad
Hyundai Eon,Hyundai,2015,162257,Petrol,Manual,4213,160000,11,Ahmedabad
Volkswagen Polo,Volkswagen,2014,182253,Petrol,Manual,6477,195000,12,Ahmedabad
Mahindra XUV500,Mahindra,2015,135266,Diesel,Manual,5979,180000,11,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,83364,Petrol,Manual,6320,240000,11,Ahmedabad
Maruti Swift,Maruti,2018,64419,Petrol,Manual,7449,422000,8,Ahmedabad
Maruti IGNIS,Maruti,2017,47462,Petrol,Manual,4692,240000,9,Ahmedabad
Hyundai Elite i20,Hyundai,2019,79115,Petrol,Manual,7238,409999,7,Ahmedabad
Maruti Baleno,Maruti,2017,94200,Petrol,Manual,5572,285000,9,Ahmedabad
Hyundai i10,Hyundai,2012,115077,Petrol,Manual,12217,138000,14,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,112742,Petrol,Manual,6267,238000,11,Ahmedabad
Maruti Alto 800,Maruti,2017,96989,Petrol,Manual,3910,200000,9,Ahmedabad
Hyundai Verna,Hyundai,2012,142340,Diesel,Manual,3910,202000,14,Ahmedabad
Maruti Alto 800,Maruti,2017,56044,Petrol,Manual,4086,209000,9,Ahmedabad
Tata Zest,Tata,2016,71270,Petrol,Manual,5116,229999,10,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,106602,Petrol,Manual,4529,172000,11,Ahmedabad
Mahindra XUV500,Mahindra,2017,77607,Diesel,Auto,9788,440000,9,Ahmedabad
Tata ALTROZ,Tata,2022,40933,Petrol,Manual,7520,426000,4,Ahmedabad
Volkswagen VIRTUS,Volkswagen,2022,33069,Petrol,Manual,13646,773000,4,Ahmedabad
Renault Kwid,Renault,2015,86259,Petrol,Manual,2791,106000,11,Ahmedabad
Hyundai i10,Hyundai,2012,105127,Petrol,Manual,12172,137000,14,Ahmedabad
Maruti Wagon R 1.0,Maruti,2017,109305,Petrol,Manual,5472,246000,9,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,232484,Petrol,Manual,5714,217000,11,Ahmedabad
Renault Kwid,Renault,2018,63709,Petrol,Manual,3389,192000,8,Ahmedabad
Renault Kwid,Renault,2018,78446,Petrol,Manual,4184,237000,8,Ahmedabad
Hyundai Verna,Hyundai,2012,180229,Diesel,Manual,4184,165000,14,Ahmedabad
Maruti Alto 800,Maruti,2013,82181,Petrol,Manual,6120,130000,13,Ahmedabad
Tata Tiago,Tata,2017,68378,Diesel,Manual,4894,220000,9,Ahmedabad
