Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Ciaz,Maruti,2017,163232,Diesel,Manual,9053,407000,9,Surat
Maruti Grand Vitara,Maruti,2024,91268,Petrol,Manual,21865,1277000,2,Surat
Maruti Swift Dzire,Maruti,2016,80532,Diesel,Manual,11824,449000,10,Surat
Hyundai Grand i10,Hyundai,2019,48805,Petrol,Manual,6902,391000,7,Surat
Tata NEXON,Tata,2023,64902,Diesel,Manual,14486,846000,3,Surat
KIA SELTOS,KIA,2021,57536,Petrol,Manual,13593,770000,5,Surat
Skoda Laura,Skoda,2013,129165,Diesel,Auto,36783,413999,13,Surat
Maruti Ciaz,Maruti,2017,164172,Diesel,Manual,9209,413999,9,Surat
Honda City,Honda,2015,108348,Diesel,Manual,13585,409000,11,Surat
KIA CARENS,KIA,2022,84892,Diesel,Auto,22533,1316000,4,Surat
Maruti Alto,Maruti,2020,74274,Petrol,Manual,4343,246000,6,Surat
Hyundai Accent,Hyundai,2010,87760,Petrol,Manual,4343,350000,16,Surat
Maruti Eeco,Maruti,2017,53041,Petrol,Manual,5885,301000,9,Surat
Hyundai NEW SANTRO,Hyundai,2021,24855,Petrol,Auto,7944,450000,5,Surat
Renault Duster,Renault,2016,71394,Diesel,Manual,9191,349000,10,Surat
Honda WR-V,Honda,2017,129737,Diesel,Manual,8900,400000,9,Surat
Mercedes Benz GLC CLASS,Mercedes,2018,93906,Diesel,Auto,38258,2010000,8,Surat
BMW 5 Series,BMW,2013,121786,Diesel,Auto,85730,969999,13,Surat
Hyundai Elite i20,Hyundai,2019,65458,Petrol,Manual,9074,513999,7,Surat
Maruti Ciaz,Maruti,2020,105100,Petrol,Manual,10766,484000,6,Surat
Hyundai Creta,Hyundai,2016,81756,Diesel,Auto,16985,645000,10,Surat
Tata ALTROZ,Tata,2023,29759,Petrol,Auto,12304,697000,3,Surat
Hyundai NEW I20,Hyundai,2023,33821,Petrol,Auto,14434,843000,3,Surat
Maruti New Wagon-R,Maruti,2023,11361,Petrol,Manual,9532,540000,3,Surat
Hyundai Creta,Hyundai,2018,220015,Diesel,Manual,15727,707000,8,Surat
